代码,简称
CN2680.CNI,深成能源R
CN2681.CNI,深成材料R
CN2682.CNI,深成工业R
CN2683.CNI,深成可选R
CN2684.CNI,深成消费R
CN2685.CNI,深成医药R
CN2686.CNI,深成金融R
CN2687.CNI,深成信息R
CN2688.CNI,深成电信R
CN2689.CNI,深成公用R
CN6122.CNI,中小能源R
CN6123.CNI,中小材料R
CN6124.CNI,中小工业R
CN6125.CNI,中小可选R
CN6126.CNI,中小消费R
CN6127.CNI,中小医药R
CN6128.CNI,中小金融R
CN6129.CNI,中小信息R
CN6130.CNI,中小电信R
CN6131.CNI,中小公用R
399632.SZ,深100EW
399633.SZ,深300EW
399634.SZ,中小板EW
399635.SZ,创业板EW
399645.SZ,100低波
399655.SZ,深证绩效
399656.SZ,100绩效
399657.SZ,300绩效
399658.SZ,中小绩效
399659.SZ,深成指EW
399660.SZ,中创EW
399661.SZ,深证低波
399662.SZ,深证高贝
399663.SZ,中小低波
399664.SZ,中小高贝
399665.SZ,中创低波
399666.SZ,中创高贝
399672.SZ,深红利50
399673.SZ,创业板50
399676.SZ,深医药EW
399677.SZ,深互联EW
399690.SZ,中小专利
399691.SZ,创业专利
399692.SZ,创业低波
399694.SZ,创业高贝
399701.SZ,深证F60
399702.SZ,深证F120
399703.SZ,深证F200
930990.CSI,港股通红利低波(HKD)
930991.CSI,港股通红利低波(CNY)
CN5138.CNI,大盘红利
CN5139.CNI,稳进价值
CN5140.CNI,先锋成长
CN5141.CNI,优势价值
CN2632.CNI,深100EWR
CN2633.CNI,深300EWR
CN2634.CNI,中小板EWR
CN2635.CNI,创业板EWR
CN2645.CNI,100低波R
CN2655.CNI,深证绩效R
CN2656.CNI,100绩效R
CN2657.CNI,300绩效R
CN2658.CNI,中小绩效R
CN2659.CNI,深成指EWR
CN2660.CNI,中创EWR
CN2661.CNI,S300低波R
CN2662.CNI,S300高贝R
CN2663.CNI,中小低波R
CN2664.CNI,中小高贝R
CN2665.CNI,中创低波R
CN2666.CNI,中创高贝R
CN2672.CNI,深红利50R
CN2673.CNI,创业板50R
CN2676.CNI,深医药EWR
CN2677.CNI,深互联EWR
CN2690.CNI,中小专利全收益
CN2691.CNI,创业专利全收益
CN2692.CNI,创业低波R
CN2694.CNI,创业高贝R
CN6138.CNI,大盘红利R
CN6139.CNI,稳进价值R
CN6140.CNI,先锋成长R
CN6141.CNI,优势价值R
H20990.CSI,港股通红利低波(全)(HKD)
H20991.CSI,港股通红利低波(全)(CNY)
S00701.SZ,深证F60R
S00702.SZ,深证F120R
S00703.SZ,深证F200R
399346.SZ,深证成长
399348.SZ,深证价值
399602.SZ,中小成长
399604.SZ,中小价值
399626.SZ,中创500成长
399627.SZ,中创500价值
399628.SZ,700成长
399629.SZ,700价值
399630.SZ,1000成长
399631.SZ,1000价值
399667.SZ,创业板G
399668.SZ,创业板V
CN2346.CNI,深证成长R
CN2348.CNI,深证价值R
CN2602.CNI,中小成长R
CN2604.CNI,中小价值R
CN2626.CNI,中创成长R
CN2627.CNI,中创价值R
CN2628.CNI,700成长R
CN2629.CNI,700价值R
CN2630.CNI,1000成长R
CN2631.CNI,1000价值R
CN2667.CNI,创业板GR
CN2668.CNI,创业板VR
399013.SZ,深市精选
399016.SZ,深证创新
399017.SZ,SME创新
399018.SZ,创业创新
399295.SZ,创业蓝筹
399296.SZ,创成长
399324.SZ,深证红利
399328.SZ,深证治理
399335.SZ,深证央企
399337.SZ,深证民营
399339.SZ,深证科技
399341.SZ,深证责任
399608.SZ,科技100
399610.SZ,TMT50
399636.SZ,深证装备
399637.SZ,深证地产
399638.SZ,深证环保
399639.SZ,深证大宗
399641.SZ,深证新兴
399642.SZ,中小新兴
399643.SZ,创业新兴
399646.SZ,深消费50
399647.SZ,深医药50
399649.SZ,中小板红利
399650.SZ,中小板治理
399651.SZ,中小板责任
399652.SZ,中创高新
399653.SZ,深证龙头
399654.SZ,深证文化
399669.SZ,深证农业
399670.SZ,深周期50
399671.SZ,深防御50
399678.SZ,深次新股
399693.SZ,安防产业
399695.SZ,深证节能
399696.SZ,深证创投
399698.SZ,优势成长
399699.SZ,金融科技
399704.SZ,深证上游
399705.SZ,深证中游
399706.SZ,深证下游
CN2016.CNI,深证创新R
CN2017.CNI,SME创新R
CN2018.CNI,创业创新R
CN2295.CNI,创业蓝筹R
CN2296.CNI,创成长R
CN2324.CNI,深证红利R
CN2328.CNI,深证治理R
CN2335.CNI,深证央企R
CN2337.CNI,深证民营R
CN2339.CNI,深证科技R
CN2341.CNI,深证责任R
CN2608.CNI,科技100R
CN2610.CNI,TMT50R
CN2636.CNI,深证装备R
CN2637.CNI,深证地产R
CN2638.CNI,深证环保R
CN2639.CNI,深证大宗R
CN2641.CNI,深证新兴R
